token_0,BIO_tag_0
MATARAM,b-lokasi
",",O
 ,O
KOMPAS.com,o
 ,O
-,O
 ,O
Kepala,o
 ,O
Dinas,o
 ,O
Kesehatan,o
 ,O
Nusa,b-lokasi
 ,O
Tenggara,i-lokasi
 ,O
Barat,e-lokasi
 ,O
(,o
NTB,b-lokasi
),o
 ,O
Nurhandini,o
 ,O
Eka,o
 ,O
Dewi,o
 ,O
mengatakan,o
",",O
 ,O
sebanyak,o
 ,O
3.304,b-korban
 ,O
kasus,e-korban
 ,O
demam,b-penyakit
 ,O
berdarah,i-penyakit
 ,O
dengue,e-penyakit
 ,O
(,o
DBD,b-penyakit
),o
 ,O
tercatat,o
 ,O
di,O
 ,O
Nusa,b-lokasi
 ,O
Tenggara,i-lokasi
 ,O
Barat,e-lokasi
 ,O
NTB,b-lokasi
 ,O
sejak,o
 ,O
Januari,o
 ,O
2020,o
.,o
 ,O
``,o
Data,o
 ,O
terakhir,o
 ,O
pada,O
 ,O
bulan,o
 ,O
April,o
",",O
 ,O
tercatat,o
 ,O
ada,O
 ,O
3.304,b-korban
 ,O
kasus,e-korban
 ,O
DBD,b-penyakit
 ,O
terhitung,o
 ,O
sejak,o
 ,O
Januari,o
 ,O
2020,o
",",O
'',o
 ,O
kata,o
 ,O
Eka,o
 ,O
ketika,O
 ,O
dikonfirmasi,o
",",O
 ,O
Selasa,o
 ,O
(,o
15/2/2020,b-waktu
),o
.,o
 ,O
Eka,o
 ,O
memerinci,o
",",O
 ,O
ribuan,o
 ,O
kasus,b-korban
 ,O
DBD,b-penyakit
 ,O
itu,O
 ,O
tersebar,o
 ,O
di,O
 ,O
sejumlah,o
 ,O
kabupaten,b-lokasi
 ,O
dan,O
 ,O
kota,b-lokasi
 ,O
di,O
 ,O
NTB,b-lokasi
.,o
 ,O
Kasus,b-korban
 ,O
terbanyak,o
 ,O
terdapat,o
 ,O
di,O
 ,O
Kabupaten,b-lokasi
 ,O
Lombok,i-lokasi
 ,O
Barat,e-lokasi
 ,O
dengan,O
 ,O
1.106,b-korban
 ,O
kasus,e-korban
 ,O
dan,O
 ,O
Kota,b-lokasi
 ,O
Bima,e-lokasi
 ,O
187,b-korban
 ,O
kasus,e-korban
.,o
KARAWANG,b-lokasi
",",O
 ,O
KOMPAS.com,o
 ,O
-,O
 ,O
Kasus,b-korban
 ,O
Demam,b-penyakit
 ,O
Berdarah,i-penyakit
 ,O
Dengue,e-penyakit
 ,O
(,o
DBD,b-penyakit
),o
 ,O
di,O
 ,O
Karawang,b-lokasi
 ,O
pada,O
 ,O
April,o
 ,O
2020,o
 ,O
sebanyak,o
 ,O
154,b-korban
 ,O
orang,e-korban
.,o
 ,O
Meningkat,o
 ,O
tiga,o
 ,O
kali,o
 ,O
lipat,o
 ,O
dari,O
 ,O
Maret,o
 ,O
2020,o
.,o
 ,O
Hal,O
 ,O
itu,O
 ,O
dikatakan,o
 ,O
Pelaksana,o
 ,O
tugas,o
 ,O
(,o
Plt,o
),o
 ,O
Kepala,o
 ,O
Dinas,o
 ,O
Kesehatan,o
 ,O
Kabupaten,b-lokasi
 ,O
Karawang,e-lokasi
 ,O
Nanik,o
 ,O
Jojana,o
.,o
 ,O
Ia,O
 ,O
mengatakan,o
",",O
 ,O
kasus,b-korban
 ,O
DBD,b-penyakit
 ,O
di,O
 ,O
Karawang,b-lokasi
 ,O
sepanjang,o
 ,O
Januari,o
 ,O
hingga,o
 ,O
April,o
 ,O
2020,o
 ,O
cenderung,o
 ,O
meningkat,o
.,o
 ,O
``,o
Januari,o
 ,O
ada,O
 ,O
18,b-korban
",",O
 ,O
Februari,o
 ,O
ada,O
 ,O
47,b-korban
",",O
 ,O
Maret,o
 ,O
45,b-korban
",",O
 ,O
dan,O
 ,O
April,o
 ,o
sangat,o
 ,O
"tinggi,154",o
.,o
 ,O
(,o
Sementara,O
),o
 ,O
Mei,o
 ,O
saya,O
 ,O
belum,O
 ,O
tahu,o
 ,O
ada,O
 ,O
berapa,o
 ,O
tapi,O
 ,O
meninggal,o
 ,O
satu,o
",",O
'',o
 ,O
kata,o
 ,O
Nanik,o
 ,O
di,O
 ,O
Posko,o
 ,O
Gugus,o
 ,O
Tugas,o
 ,O
Percepatan,o
 ,O
Penanganan,o
 ,O
Covid,o
-,O
19,o
 ,O
Karawang,b-lokasi
",",O
 ,O
Senin,o
 ,O
(,o
11/5/2020,b-waktu
),o
.,o
KENDAL,b-lokasi
",",O
 ,O
KOMPAS.com,o
 ,O
-,O
 ,O
Dinas,o
 ,O
Kesehatan,o
 ,O
Kendal,b-lokasi
 ,O
mencatat,o
 ,O
terhitung,o
 ,O
hingga,o
 ,O
April,o
 ,O
2020,o
",",O
 ,O
penderita,b-korban
 ,O
Demam,b-penyakit
 ,O
Berdarah,i-penyakit
 ,O
Dengue,e-penyakit
 ,O
(,o
 ,O
DBD,b-penyakit
),o
 ,O
di,O
 ,O
Kabupaten,b-lokasi
 ,O
Kendal,e-lokasi
 ,O
mencapai,o
 ,O
93,b-korban
 ,O
kasus,e-korban
.,o
 ,O
``,o
Kasus,b-korban
 ,O
terbanyak,o
 ,O
berada,o
 ,O
di,O
 ,O
kecamatan,b-lokasi
 ,O
Boja,e-lokasi
 ,O
10,b-korban
 ,O
kasus,e-korban
",",O
 ,O
Kaliwungu,b-lokasi
 ,O
8,b-korban
 ,O
kasus,e-korban
 ,O
dan,O
 ,O
Pegandon,b-lokasi
 ,O
8,b-korban
 ,O
kasus,e-korban
.,o
 ,O
Lainnya,o
 ,O
rata,o
-,O
rata,o
 ,o
2,b-korban
 ,O
hingga,o
 ,O
4,b-korban
 ,O
kasus,e-korban
",",O
?,O
 ,O
kata,o
 ,O
Kepala,o
 ,O
Dinas,o
 ,O
Kesehatan,o
 ,O
Kendal,b-lokasi
 ,O
Feri,o
 ,O
Boney,o
 ,O
kepada,O
 ,O
wartawan,o
",",O
 ,O
Rabu,o
 ,O
(,o
