token_0,BIO_tag_0
SEMARANG,b-lokasi
",",O
KOMPAS.com,O
-,O
Dinas,O
Kesehatan,O
Jawa,b-lokasi
Tengah,e-lokasi
menyebut,O
ada,O
40,b-korban
orang,e-korban
di,O
Jawa,b-lokasi
Tengah,e-lokasi
yang,O
meninggal,O
dunia,O
akibat,O
terserang,O
penyakit,O
demam,b-penyakit
berdarah,i-penyakit
dengue,e-penyakit
(,O
DBD,b-penyakit
),O
selama,O
kurun,O
waktu,O
tiga,O
bulan,O
terakhir,O
.,O
Ancaman,O
penyakit,O
yang,O
disebabkan,O
oleh,O
gigitan,O
nyamuk,O
Aedes,O
aegypty,O
itu,O
menunjukkan,O
angka,O
kematian,O
yang,O
lebih,O
tinggi,O
dibandingkan,O
Covid,O
-,O
19,O
di,O
periode,O
yang,O
sama,O
.,O
Kepala,O
Dinkes,O
Jateng,O
Yulianto,O
Prabowo,O
menyebutkan,O
",",O
di,O
wilayah,O
Jawa,b-lokasi
Tengah,e-lokasi
ditemukan,O
demam,b-penyakit
berdarah,e-penyakit
sebanyak,O
2.115,b-korban
kasus,e-korban
DBD,b-lokasi
yang,O
tersebar,O
merata,O
di,O
35,O
kabupaten/kota,O
.,O
``,O
Kasus,O
paling,O
banyak,O
ditemukan,O
di,O
Cilacap,b-lokasi
yakni,O
216,b-korban
",",O
dengan,O
jumlah,O
meninggal,O
dunia,O
3,b-korban
orang,e-korban
.,O
Lalu,O
",",O
Kota,O
Semarang,b-lokasi
dengan,O
154,b-korban
kasus,e-korban
",",O
meninggal,O
2,b-korban
orang,e-korban
.,O
Kemudian,O
Jepara,O
dengan,O
136,b-korban
kasus,e-korban
",",O
meninggal,O
1,b-korban
orang,e-korban
",",O
',O
ujar,O
Yulianto,O
di,O
Semarang,b-lokasi
",",O
Kamis,b-waktu
(,O
16/4/2020,b-waktu
),O
.,O
Lebih,O
lanjut,O
",",O
jumlah,O
warga,O
yang,O
terserang,O
DBD,b-penyakit
di,O
Kabupaten,b-lokasi
Banjarnegara,e-lokasi
mencapai,O
62,b-korban
orang,e-korban
",",O
3,O
di,O
antaranya,O
meninggal,O
dunia,O
.,O
Sedangkan,O
",",O
Banyumas,b-lokasi
terdapat,O
132,b-korban
kasus,e-korban
",",O
3,O
orang,O
di,O
antaranya,O
meninggal,O
dunia,O
.,O
Klaten,b-lokasi
ada,O
131,b-korban
kasus,e-korban
dan,O
3,O
orang,O
meninggal,O
dunia,O
",",O
Kebumen,b-lokasi
124,b-korban
