token_0,BIO_tag_0
SEMARANG,b-lokasi
",",O
 ,O
KOMPAS.com,O
 ,O
-,O
 ,O
Dinas,O
 ,O
Kesehatan,O
 ,O
Jawa,b-lokasi
 ,O
Tengah,e-lokasi
 ,O
menyebut,O
 ,O
ada,O
 ,O
40,b-korban
 ,O
orang,e-korban
 ,O
di,O
 ,O
Jawa,b-lokasi
 ,O
Tengah,e-lokasi
 ,O
yang,O
 ,O
meninggal,O
 ,O
dunia,O
 ,O
akibat,O
 ,O
terserang,O
 ,O
penyakit,O
 ,O
demam,b-penyakit
 ,O
berdarah,i-penyakit
 ,O
dengue,e-penyakit
 ,O
(,O
DBD,b-penyakit
),O
 ,O
selama,O
 ,O
kurun,O
 ,O
waktu,O
 ,O
tiga,O
 ,O
bulan,O
 ,O
terakhir,O
.,O
 ,O
Ancaman,O
 ,O
penyakit,O
 ,O
yang,O
 ,O
disebabkan,O
 ,O
oleh,O
 ,O
gigitan,O
 ,O
nyamuk,O
 ,O
Aedes,O
 ,O
aegypty,O
 ,O
itu,O
 ,O
menunjukkan,O
 ,O
angka,O
 ,O
kematian,O
 ,O
yang,O
 ,O
lebih,O
 ,O
tinggi,O
 ,O
dibandingkan,O
 ,O
Covid,O
-,O
19,O
 ,O
di,O
 ,O
periode,O
 ,O
yang,O
 ,O
sama,O
.,O
 ,O
Kepala,O
 ,O
Dinkes,O
 ,O
Jateng,O
 ,O
Yulianto,O
 ,O
Prabowo,O
 ,O
menyebutkan,O
",",O
 ,O
di,O
 ,O
wilayah,O
 ,O
Jawa,b-lokasi
 ,O
Tengah,e-lokasi
 ,O
ditemukan,O
 ,O
demam,b-penyakit
 ,O
berdarah,e-penyakit
 ,O
sebanyak,O
 ,O
2.115,b-korban
 ,O
kasus,e-korban
 ,O
DBD,b-lokasi
 ,O
yang,O
 ,O
tersebar,O
 ,O
merata,O
 ,O
di,O
 ,O
35,O
 ,O
kabupaten/kota,O
.,O
 ,O
``,O
Kasus,O
 ,O
paling,O
 ,O
banyak,O
 ,O
ditemukan,O
 ,O
di,O
 ,O
Cilacap,b-lokasi
 ,O
yakni,O
 ,O
216,b-korban
",",O
 ,O
dengan,O
 ,O
jumlah,O
 ,O
meninggal,O
 ,O
dunia,O
 ,O
3,b-korban
 ,O
orang,e-korban
.,O
 ,O
Lalu,O
",",O
 ,O
Kota,O
 ,O
Semarang,b-lokasi
 ,O
dengan,O
 ,O
154,b-korban
 ,O
kasus,e-korban
",",O
 ,O
meninggal,O
 ,O
