token_0,BIO_tag_0
KOMPAS.com,O
 ,O
-,O
 ,O
Kasus,O
 ,O
baru,O
 ,O
Berdasarakan,O
 ,O
data,O
 ,O
dari,O
 ,O
Direktorat,O
 ,O
Jenderal,O
 ,O
Pencegahan,O
 ,O
dan,O
 ,O
Pengendalian,O
 ,O
Penyakit,O
 ,O
Kemenkes,O
",",O
 ,O
berikut,O
 ,O
kasus,O
 ,O
baru,O
 ,O
kusta,b-penyakit
 ,O
tiap,O
 ,O
provinsi,O
 ,O
berdasarkan,O
 ,O
jenis,O
 ,O
kelamin,O
 ,O
per,O
 ,O
April,O
 ,O
2018,O
:,O
 ,O
Aceh,b-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
188,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
136,b-korban
 ,O
kasus,e-korban
),O
 ,O
Sumatera,b-lokasi
 ,O
Utara,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
97,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
61,b-korban
 ,O
kasus,e-korban
),O
 ,O
Sumatera,b-lokasi
 ,O
Barat,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
27,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
26,b-korban
 ,O
kasus,e-korban
),O
 ,O
Riau,b-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
93,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
43,b-korban
 ,O
kasus,e-korban
),O
 ,O
Jambi,b-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
34,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
26,b-korban
 ,O
kasus,e-korban
),O
 ,O
Sumatera,b-lokasi
 ,O
Selatan,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
186,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
95,b-korban
 ,O
kasus,e-korban
),O
 ,O
Bengkulu,b-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
17,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
9,b-korban
 ,O
kasus,e-korban
),O
 ,O
Lampung,b-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
90,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
74,b-korban
 ,O
kasus,e-korban
),O
 ,O
Kepulauan,b-lokasi
 ,O
Bangka,i-lokasi
 ,O
Belitung,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
28,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
21,b-korban
 ,O
kasus,e-korban
),O
 ,O
Kepulauan,b-lokasi
 ,O
Riau,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
12,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
18,b-korban
 ,O
kasus,e-korban
),O
 ,O
DKI,b-lokasi
 ,O
Jakarta,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
205,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
95,b-korban
 ,O
kasus,e-korban
),O
 ,O
Jawa,b-lokasi
 ,O
Barat,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
1.154,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
659,b-korban
 ,O
kasus,e-korban
),O
 ,O
Jawa,b-lokasi
 ,O
Tengah,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
1.103,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
541,b-korban
 ,O
kasus,e-korban
),O
 ,O
DI,b-lokasi
 ,O
Yogyakarta,e-lokasi
 ,O
(,O
laki,O
-,O
laki,O
 ,O
64,b-korban
 ,O
kasus,e-korban
",",O
 ,O
perempuan,O
 ,O
30,b-korban
 ,O
kasus,e-korban
