token_0,BIO_tag_0,token_1,BIO_tag_1,token_2,BIO_tag_2,token_3,BIO_tag_3,token_4,BIO_tag_4,token_5,BIO_tag_5,token_6,BIO_tag_6,token_7,BIO_tag_7,token_8,BIO_tag_8,token_9,BIO_tag_9,token_10,BIO_tag_10,token_11,BIO_tag_11,token_12,BIO_tag_12,token_13,BIO_tag_13,token_14,BIO_tag_14,token_15,BIO_tag_15,token_16,BIO_tag_16,token_17,BIO_tag_17,token_18,BIO_tag_18,token_19,BIO_tag_19,token_20,BIO_tag_20,token_21,BIO_tag_21,token_22,BIO_tag_22,token_23,BIO_tag_23,token_24,BIO_tag_24,token_25,BIO_tag_25,token_26,BIO_tag_26,token_27,BIO_tag_27,token_28,BIO_tag_28,token_29,BIO_tag_29,token_30,BIO_tag_30,token_31,BIO_tag_31,token_32,BIO_tag_32,token_33,BIO_tag_33,token_34,BIO_tag_34,token_35,BIO_tag_35,token_36,BIO_tag_36,token_37,BIO_tag_37,token_38,BIO_tag_38,token_39,BIO_tag_39,token_40,BIO_tag_40,token_41,BIO_tag_41,token_42,BIO_tag_42,token_43,BIO_tag_43,token_44,BIO_tag_44,token_45,BIO_tag_45,token_46,BIO_tag_46,token_47,BIO_tag_47,token_48,BIO_tag_48,token_49,BIO_tag_49,token_50,BIO_tag_50,token_51,BIO_tag_51,token_52,BIO_tag_52,token_53,BIO_tag_53,token_54,BIO_tag_54,token_55,BIO_tag_55,token_56,BIO_tag_56,token_57,BIO_tag_57,token_58,BIO_tag_58,token_59,BIO_tag_59,token_60,BIO_tag_60,token_61,BIO_tag_61,token_62,BIO_tag_62,token_63,BIO_tag_63,token_64,BIO_tag_64,token_65,BIO_tag_65,token_66,BIO_tag_66,token_67,BIO_tag_67,token_68,BIO_tag_68,token_69,BIO_tag_69,token_70,BIO_tag_70,token_71,BIO_tag_71,token_72,BIO_tag_72,token_73,BIO_tag_73,token_74,BIO_tag_74,token_75,BIO_tag_75,token_76,BIO_tag_76,token_77,BIO_tag_77,token_78,BIO_tag_78,token_79,BIO_tag_79,token_80,BIO_tag_80,token_81,BIO_tag_81,token_82,BIO_tag_82,token_83,BIO_tag_83,token_84,BIO_tag_84,token_85,BIO_tag_85,token_86,BIO_tag_86,token_87,BIO_tag_87,token_88,BIO_tag_88,token_89,BIO_tag_89,token_90,BIO_tag_90,token_91,BIO_tag_91,token_92,BIO_tag_92,token_93,BIO_tag_93,token_94,BIO_tag_94,token_95,BIO_tag_95,token_96,BIO_tag_96,token_97,BIO_tag_97,token_98,BIO_tag_98
SEMARANG,,ENDE,,SEMARANG,,BEKASI,,BOGOR,,TANGERANG,,TASIKMALAYA,,MAUMERE,,TANGERANG,,KOMPAS.com-,,SUKABUMI,,TANJUNGPINANG,,DEPOK,,KUPANG,,CIANJUR,,KUPANG,,GRESIK,,SOLO,,PALEMBANG,,Berdasarkan,,Jumlah,,Dinas,,``,,JAKARTA,,KOLAKA,,SURABAYA,,Kuningan,,Jawa,,Jakarta,,Cimahi,,Bekasi,,Bandung,,Bandung,,Sleman,,Jakarta,,JAKARTA,,PROBOLINGGO,,MATARAM,,DEPOK,,PIDIE,,JAKARTA,,KENDAL,,MAMUJU,,KOMPAS.com,,JAKARTA,,Kendari,,Ratusan,,Banyuwangi,,Kota,,Jakarta,,Pekanbaru,,Sukabumi,,Sidoarjo,,Bandung,,Jakarta,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,BANDARLAMPUNG,,LHOKSEUMAWE,,JAKARTA,,BIMA,,Indonesia,,KOMPAS.com,,MAGELANG,,JAKARTA,,Cianjur,,Jakarta,,Cimahi,,Tulungagung,,Jakarta,,Tulungagung,,Jakarta,,Jakarta,,Jakarta,,Jakarta,,Jakarta,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,Jakarta,,Purworejo,,JAKARTA,,KOMPAS.com,,DEPOK,,JAKARTA,,BANGKALAN,,TANGERANG,,SURABAYA,,Di,O,MEDAN,
",",O,",",O,",",O,",",O,",",O, ,O,",",O,",",O, ,O, ,O,",",O,",",O,",",O,",",O,",",O,",",O,",",O,",",O,",",O, ,O, ,O, ,O,Menurut,O,",",O,",",O,",",O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O,",",O,",",O,",",O, ,O,",",O,",",O, ,O, ,O,",",O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O,",",O,",",O,",",O, ,O, ,O,",",O,",",O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O, ,O,",",O,",",O,",",O,",",O,",",O, ,O,",",O
 ,O, ,O, ,O, ,O, ,O,SELATAN,, ,O, ,O,SELATAN,,Kasus,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,data,,kasus,,Kesehatan,, ,O, ,O, ,O, ,O,-,O,Tengah,,-,O,-,O,-,O,-,O,-,O,-,O,-,O, ,O, ,O, ,O, ,O,JAYA,, ,O, ,O,TENGAH,,-,O, ,O,-,O,warga,,-,O,Pekalongan,,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,ź,, ,O, ,O, ,O, ,O,menempati,,ź,, ,O, ,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,Menanggapi,,Ramuan,,-,O,-,O,-,O,-,O,-,O,-,O, ,O,-,O, ,O, ,O, ,O, ,O, ,O,Jawa,, ,O
KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,",",O,KOMPAS.com,,KOMPAS.com,,",",O, ,O,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,, ,O, ,O, ,O,laporan,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,",",O,KOMPAS.com,,KOMPAS.com,,",",O, ,O,KOMPAS.com,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,?,O,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,,KOMPAS,, ,O,?,O,MINGGU,,SENIN,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,KOMPAS.com,, ,O,KOMPAS.com,,KOMPAS,,KOMPAS.com,,KOMPAS.com,,KOMPAS.com,, ,O,KOMPAS.com,
 ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Demam,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Kementerian,,demam,,Provinsi,, ,O, ,O, ,O, ,O,Kasus,,-,O,Kasus,,Seorang,,Dinas,,Penyakit,,Di,O,Kasus,,Kementerian,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Kabupaten,, ,O,Sebanyak,,korban,,Sebanyak,,-,O,Proses,,Sudah,O,Sejumlah,,Banjir,,Sebanyak,,Penyakit,,Daripada,O,Kabupaten,,?,O, ,O, ,O, ,O, ,O,urutan,,?,O, ,O, ,O,Dinas,,Tuberkulosis,,Presiden,,Seorang,,Indonesia,,Dinas,,Jumlah,,Dari,O,Tuberkulosis,,Tuberculosis,,Tuberkulosis,,Setidaknya,O,Kementerian,,Jumlah,,Pasca,,Meluasnya,,keberhasilan,,tanaman,,Tiga,,Walau,O,Kabupaten,,Selama,,Malaria,,Kabupaten,, ,O,Kasus,, ,O, ,O, ,O, ,O, ,O,Timur,, ,O
-,O,-,O,-,O,-,O,-,O,KOMPAS.com,,-,O,-,O,KOMPAS.com,, ,O,-,O,Kasus,,-,O,-,O,Asep,,-,O,Penderita,,-,O,-,O, ,O, ,O, ,O,Kementerian,,-,O,-,O,Tercatat,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,-,O,?,O,-,O,-,O,KOMPAS.com,,-,O,?,O,KOMPAS.com,, ,O,-,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,-Orang,,ź,,-,O,-,O, ,O, ,O,-,O,-,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,-,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,-,O, ,O,-,O,?,O,-,O,?,O,-,O,",",O,?,O
 ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Berdarah,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Kesehatan,,berdarah,,Jawa,, ,O, ,O, ,O, ,O,demam,,Dinas,,penularan,,bocah,,Kesehatan,,demam,,tengah,,demam,,Kesehatan,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Ende,, ,O,14,,banjir,,31,,Menginjak,,evakuasi,,sepekan,,warga,,yang,O,36,,batuk,,khawatir,,Garut,,Indonesia,, ,O,?,O, ,O, ,O,kelima,,Setengah,, ,O, ,O,Kesehatan,,(,,Joko,,napi,,masih,O,Kesehatan,,penyakit,,data,,atau,O,(,,(,,137,,Koordinator,,pengungsi,,gempa,,wabah,,Teluk,,sambiloto,,negara,,pemerintah,,Tabalong,,sebulan,,masih,O,Purworejo,, ,O,baru,, ,O, ,O, ,O, ,O, ,O, ,O, ,O
Dinas,,Kepala,,Sebanyak,,Berdasarkan,,Korban,,-,O,Pemerintah,,Jumlah,,-,O, ,O,Sepanjang,,demam,,Pascabanjir,,Sebanyak,,Saprudin,,Sebanyak,,penyakit,,Satu,,Cuaca,,",",O, ,O, ,O,Kesehatan,,Sejak,,RSUD,,sejak,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Ribuan,,Seorang,,Pengungsi,,Laboratorium,,?,O,Ketua,,Ratusan,,-,O,",",O,Ridwan,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O, ,O, ,O, ,O,dengan,O,?,O,Di,O,Penderita,, ,O, ,O,Tahun,,Kasus,, ,O,TBC,, ,O, ,O, ,O, ,O, ,O, ,O, ,O,TBC,,TB,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O, ,O, ,O, ,O,Tahun,, ,O,Dinas,,Kasus,,Sebanyak,,Angka,,Jumlah,,sampai,O,Diduga,
 ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Denguue,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,dengue,,Tengah,,",",O, ,O, ,O, ,O,berdarah,,Kesehatan,,penyakit,,berusia,,Kota,,berdarah,,pandemi,,berdarah,,(,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,warga,,di,O,warga,,hari,,pada,O,ini,O,korban,,melanda,,ribu,, ,O,berlebihan,,menjadi,,saat,O, ,O, ,O, ,O, ,O,dalam,O,dari,O, ,O, ,O,Kabupaten,, ,O,Widodo,,Lapas,,mengalami,,(,,tidak,O,yang,O,TB,,),, ,O,orang,,Bidang,,gempa,,di,O,malaria,,Bintuni,,(,,di,O,menargetkan,, ,O,terakhir,,menjadi,,Jawa,, ,O,Berdasarakan,, ,O, ,O, ,O, ,O, ,O, ,O, ,O
Kesehatan,,Bidang,,17,,catatan,,meninggal,,Penderita,,Kota,,penderita,,Awal,, ,O,Januari,,berdarah,,yang,O,empat,,(,,585,,demam,,kasus,,ektrem,,angka,, ,O, ,O, ,O,Januari,,Benyamin,,1,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Kemenkes,,warga,,turis,,korban,,Institut,,Mayoritas,,DPD,,warga,,Enam,,Manggarai,,Hakim,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,pilek,, ,O, ,O, ,O,HIV/AIDS,,Setiap,O,Indonesia,,tuberkulosis,, ,O, ,O,2008,,penularan,, ,O,atau,O, ,O, ,O, ,O,Dinkes,, ,O, ,O, ,O, ,O,atau,O, ,O, ,O, ,O, ,O, ,O, ,O,Andrographis,, ,O, ,O,Kalimantan,, ,O, ,O, ,O,2018,, ,O,Kesehatan,,baru,,227,,penderita,,penderita,,hari,,gara,
