token_0,BIO_tag_0,token_1,BIO_tag_1,token_2,BIO_tag_2,token_3,BIO_tag_3,token_4,BIO_tag_4,token_5,BIO_tag_5,token_6,BIO_tag_6,token_7,BIO_tag_7,token_8,BIO_tag_8,token_9,BIO_tag_9,token_10,BIO_tag_10,token_11,BIO_tag_11,token_12,BIO_tag_12,token_13,BIO_tag_13,token_14,BIO_tag_14,token_15,BIO_tag_15,token_16,BIO_tag_16,token_17,BIO_tag_17,token_18,BIO_tag_18,token_19,BIO_tag_19,token_20,BIO_tag_20,token_21,BIO_tag_21,token_22,BIO_tag_22,token_23,BIO_tag_23,token_24,BIO_tag_24,token_25,BIO_tag_25,token_26,BIO_tag_26,token_27,BIO_tag_27,token_28,BIO_tag_28,token_29,BIO_tag_29,token_30,BIO_tag_30,token_31,BIO_tag_31,token_32,BIO_tag_32,token_33,BIO_tag_33,token_34,BIO_tag_34,token_35,BIO_tag_35,token_36,BIO_tag_36,token_37,BIO_tag_37,token_38,BIO_tag_38,token_39,BIO_tag_39,token_40,BIO_tag_40,token_41,BIO_tag_41,token_42,BIO_tag_42,token_43,BIO_tag_43,token_44,BIO_tag_44,token_45,BIO_tag_45,token_46,BIO_tag_46,token_47,BIO_tag_47,token_48,BIO_tag_48,token_49,BIO_tag_49,token_50,BIO_tag_50,token_51,BIO_tag_51,token_52,BIO_tag_52,token_53,BIO_tag_53,token_54,BIO_tag_54,token_55,BIO_tag_55,token_56,BIO_tag_56,token_57,BIO_tag_57,token_58,BIO_tag_58,token_59,BIO_tag_59,token_60,BIO_tag_60,token_61,BIO_tag_61,token_62,BIO_tag_62,token_63,BIO_tag_63,token_64,BIO_tag_64,token_65,BIO_tag_65,token_66,BIO_tag_66,token_67,BIO_tag_67,token_68,BIO_tag_68,token_69,BIO_tag_69,token_70,BIO_tag_70,token_71,BIO_tag_71,token_72,BIO_tag_72,token_73,BIO_tag_73,token_74,BIO_tag_74,token_75,BIO_tag_75,token_76,BIO_tag_76,token_77,BIO_tag_77,token_78,BIO_tag_78,token_79,BIO_tag_79,token_80,BIO_tag_80,token_81,BIO_tag_81,token_82,BIO_tag_82,token_83,BIO_tag_83,token_84,BIO_tag_84,token_85,BIO_tag_85,token_86,BIO_tag_86,token_87,BIO_tag_87,token_88,BIO_tag_88,token_89,BIO_tag_89,token_90,BIO_tag_90,token_91,BIO_tag_91,token_92,BIO_tag_92,token_93,BIO_tag_93,token_94,BIO_tag_94,token_95,BIO_tag_95,token_96,BIO_tag_96,token_97,BIO_tag_97,token_98,BIO_tag_98
SEMARANG,b-lokasi,ENDE,b-lokasi,SEMARANG,b-lokasi,BEKASI,b-lokasi,BOGOR,b-lokasi,TANGERANG,b-lokasi,TASIKMALAYA,b-lokasi,MAUMERE,b-lokasi,TANGERANG,b-lokasi,KOMPAS.com-,O,SUKABUMI,b-lokasi,TANJUNGPINANG,b-lokasi,DEPOK,b-lokasi,KUPANG,b-lokasi,CIANJUR,b-lokasi,KUPANG,b-lokasi,GRESIK,b-lokasi,SOLO,b-lokasi,PALEMBANG,b-lokasi,Berdasarkan,O,Jumlah,O,Dinas,O,``,O,JAKARTA,b-lokasi,KOLAKA,b-lokasi,SURABAYA,b-lokasi,Kuningan,b-lokasi,Jawa,b-lokasi,Jakarta,b-lokasi,Cimahi,b-lokasi,Bekasi,b-lokasi,Bandung,b-lokasi,Bandung,b-lokasi,Sleman,b-lokasi,Jakarta,b-lokasi,JAKARTA,b-lokasi,PROBOLINGGO,b-lokasi,MATARAM,b-lokasi,DEPOK,b-lokasi,PIDIE,b-lokasi,JAKARTA,b-lokasi,KENDAL,b-lokasi,MAMUJU,b-lokasi,KOMPAS.com,O,JAKARTA,b-lokasi,Kendari,b-lokasi,Ratusan,O,Banyuwangi,b-lokasi,Kota,b-lokasi,Jakarta,b-lokasi,Pekanbaru,b-lokasi,Sukabumi,b-lokasi,Sidoarjo,b-lokasi,Bandung,b-lokasi,Jakarta,b-lokasi,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,BANDARLAMPUNG,b-lokasi,LHOKSEUMAWE,b-lokasi,JAKARTA,b-lokasi,BIMA,b-lokasi,Indonesia,b-lokasi,KOMPAS.com,O,MAGELANG,b-lokasi,JAKARTA,b-lokasi,Cianjur,b-lokasi,Jakarta,b-lokasi,Cimahi,b-lokasi,Tulungagung,b-lokasi,Jakarta,b-lokasi,Tulungagung,b-lokasi,Jakarta,b-lokasi,Jakarta,b-lokasi,Jakarta,b-lokasi,Jakarta,b-lokasi,Jakarta,b-lokasi,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,Jakarta,b-lokasi,Purworejo,b-lokasi,JAKARTA,b-lokasi,KOMPAS.com,O,DEPOK,b-lokasi,JAKARTA,b-lokasi,BANGKALAN,b-lokasi,TANGERANG,b-lokasi,SURABAYA,b-lokasi,Di,O,MEDAN,b-lokasi
",",O,",",O,",",O,",",O,",",O,,O,",",O,",",O,,O,,O,",",O,",",O,",",O,",",O,",",O,",",O,",",O,",",O,",",O,,O,,O,,O,Menurut,O,",",O,",",O,",",O,,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,",",O,",",O,",",O,,O,",",O,",",O,,O,,O,",",O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,",",O,",",O,",",O,,O,,O,",",O,",",O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,,O,",",O,",",O,",",O,",",O,",",O,,O,",",O
,O,,O,,O,,O,,O,SELATAN,e-lokasi,,O,,O,SELATAN,e-lokasi,Kasus,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,data,O,kasus,O,Kesehatan,O,,O,,O,,O,,O,-,O,Tengah,e-lokasi,-,O,-,O,-,O,-,O,-,O,-,O,-,O,,O,,O,,O,,O,JAYA,e-lokasi,,O,,O,TENGAH,e-lokasi,-,O,,O,-,O,warga,O,-,O,Pekalongan,e-lokasi,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,ź,O,,O,,O,,O,,O,menempati,O,ź,O,,O,,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,-,O,Menanggapi,O,Ramuan,O,-,O,-,O,-,O,-,O,-,O,-,O,,O,-,O,,O,,O,,O,,O,,O,Jawa,b-lokasi,,O
KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,",",O,KOMPAS.com,O,KOMPAS.com,O,",",O,,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,,O,,O,,O,laporan,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,",",O,KOMPAS.com,O,KOMPAS.com,O,",",O,,O,KOMPAS.com,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,?,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS,O,,O,?,O,MINGGU,O,SENIN,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,KOMPAS.com,O,,O,KOMPAS.com,O,KOMPAS,O,KOMPAS.com,O,KOMPAS.com,O,KOMPAS.com,O,,O,KOMPAS.com,O
,O,,O,,O,,O,,O,,O,,O,,O,,O,Demam,b-penyakit,,O,,O,,O,,O,,O,,O,,O,,O,,O,Kementerian,O,demam,b-penyakit,Provinsi,O,,O,,O,,O,,O,Kasus,O,-,O,Kasus,O,Seorang,O,Dinas,O,Penyakit,O,Di,O,Kasus,O,Kementerian,O,,O,,O,,O,,O,,O,,O,,O,,O,Kabupaten,b-lokasi,,O,Sebanyak,O,korban,O,Sebanyak,O,-,O,Proses,O,Sudah,O,Sejumlah,O,Banjir,O,Sebanyak,O,Penyakit,O,Daripada,O,Kabupaten,b-lokasi,?,O,,O,,O,,O,,O,urutan,O,?,O,,O,,O,Dinas,O,Tuberkulosis,b-penyakit,Presiden,O,Seorang,O,Indonesia,b-lokasi,Dinas,O,Jumlah,O,Dari,O,Tuberkulosis,b-penyakit,Tuberculosis,b-penyakit,Tuberkulosis,b-penyakit,Setidaknya,O,Kementerian,O,Jumlah,O,Pasca,O,Meluasnya,O,keberhasilan,O,tanaman,O,Tiga,O,Walau,O,Kabupaten,b-lokasi,Selama,O,Malaria,b-penyakit,Kabupaten,b-lokasi,,O,Kasus,O,,O,,O,,O,,O,,O,Timur,e-lokasi,,O
-,O,-,O,-,O,-,O,-,O,KOMPAS.com,O,-,O,-,O,KOMPAS.com,O,,O,-,O,Kasus,O,-,O,-,O,Asep,O,-,O,Penderita,O,-,O,-,O,,O,,O,,O,Kementerian,O,-,O,-,O,Tercatat,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,-,O,?,O,-,O,-,O,KOMPAS.com,O,-,O,?,O,KOMPAS.com,O,,O,-,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,-Orang,O,ź,O,-,O,-,O,,O,,O,-,O,-,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,-,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,-,O,,O,-,O,?,O,-,O,?,O,-,O,",",O,?,O
,O,,O,,O,,O,,O,,O,,O,,O,,O,Berdarah,i-penyakit,,O,,O,,O,,O,,O,,O,,O,,O,,O,Kesehatan,O,berdarah,i-penyakit,Jawa,b-lokasi,,O,,O,,O,,O,demam,b-penyakit,Dinas,O,penularan,O,bocah,O,Kesehatan,O,demam,b-penyakit,tengah,O,demam,b-penyakit,Kesehatan,O,,O,,O,,O,,O,,O,,O,,O,,O,Ende,e-lokasi,,O,14,b-korban,banjir,O,31,b-korban,Menginjak,O,evakuasi,O,sepekan,O,warga,O,yang,O,36,O,batuk,O,khawatir,O,Garut,e-lokasi,Indonesia,O,,O,?,O,,O,,O,kelima,O,Setengah,O,,O,,O,Kesehatan,O,(,O,Joko,O,napi,O,masih,O,Kesehatan,O,penyakit,O,data,O,atau,O,(,O,(,O,137,b-korban,Koordinator,O,pengungsi,O,gempa,O,wabah,O,Teluk,b-lokasi,sambiloto,O,negara,O,pemerintah,O,Tabalong,e-lokasi,sebulan,O,masih,O,Purworejo,e-lokasi,,O,baru,O,,O,,O,,O,,O,,O,,O,,O
Dinas,O,Kepala,O,Sebanyak,O,Berdasarkan,O,Korban,O,-,O,Pemerintah,O,Jumlah,O,-,O,,O,Sepanjang,O,demam,b-penyakit,Pascabanjir,O,Sebanyak,O,Saprudin,O,Sebanyak,O,penyakit,O,Satu,O,Cuaca,O,",",O,,O,,O,Kesehatan,O,Sejak,O,RSUD,O,sejak,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,Ribuan,O,Seorang,O,Pengungsi,O,Laboratorium,O,?,O,Ketua,O,Ratusan,O,-,O,",",O,Ridwan,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,,O,,O,,O,dengan,O,?,O,Di,O,Penderita,O,,O,,O,Tahun,O,Kasus,O,,O,TBC,b-penyakit,,O,,O,,O,,O,,O,,O,,O,TBC,b-penyakit,TB,b-penyakit,,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,,O,,O,,O,Tahun,O,,O,Dinas,O,Kasus,O,Sebanyak,O,Angka,O,Jumlah,O,sampai,O,Diduga,O
,O,,O,,O,,O,,O,,O,,O,,O,,O,Denguue,e-penyakit,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,dengue,e-penyakit,Tengah,e-lokasi,",",O,,O,,O,,O,berdarah,e-penyakit,Kesehatan,O,penyakit,O,berusia,O,Kota,O,berdarah,i-penyakit,pandemi,O,berdarah,i-penyakit,(,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,warga,e-korban,di,O,warga,e-korban,hari,O,pada,O,ini,O,korban,O,melanda,O,ribu,O,,O,berlebihan,O,menjadi,O,saat,O,,O,,O,,O,,O,dalam,O,dari,O,,O,,O,Kabupaten,b-lokasi,,O,Widodo,O,Lapas,O,mengalami,O,(,O,tidak,O,yang,O,TB,b-penyakit,),O,,O,orang,e-korban,Bidang,O,gempa,O,di,O,malaria,b-penyakit,Bintuni,e-lokasi,(,O,di,O,menargetkan,O,,O,terakhir,O,menjadi,O,Jawa,b-lokasi,,O,Berdasarakan,O,,O,,O,,O,,O,,O,,O,,O
Kesehatan,O,Bidang,O,17,b-korban,catatan,O,meninggal,O,Penderita,O,Kota,O,penderita,O,Awal,O,,O,Januari,b-waktu,berdarah,i-penyakit,yang,O,empat,O,(,O,585,b-korban,demam,b-penyakit,kasus,O,ektrem,O,angka,O,,O,,O,,O,Januari,b-waktu,Benyamin,O,1,O,,O,,O,,O,,O,,O,,O,,O,,O,Kemenkes,O,warga,O,turis,O,korban,O,Institut,O,Mayoritas,O,DPD,O,warga,O,Enam,O,Manggarai,b-lokasi,Hakim,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,pilek,O,,O,,O,,O,HIV/AIDS,O,Setiap,O,Indonesia,b-lokasi,tuberkulosis,b-penyakit,,O,,O,2008,b-waktu,penularan,O,,O,atau,O,,O,,O,,O,Dinkes,O,,O,,O,,O,,O,atau,O,,O,,O,,O,,O,,O,,O,Andrographis,O,,O,,O,Kalimantan,b-lokasi,,O,,O,,O,2018,b-waktu,,O,Kesehatan,O,baru,O,227,b-korban,penderita,O,penderita,O,hari,O,gara,O
