,district,latitude,longitude
1,aceh,4.695135,96.7493993
2,sumatera utara,2.1153547,99.5450974
3,sumatera barat,-0.7399397,100.8000051
4,riau,0.2933469,101.7068294
5,jambi,-1.4851831,102.4380581
6,sumatera selatan,-3.3194374,103.914399
7,bengkulu,-3.5778471,102.3463875
8,lampung,-4.5585849,105.4068079
9,kepulauan bangka belitung,-2.7410513,106.4405872
10,kepulauan riau,3.9456514,108.1428669
11,dki jakarta,-6.211544,106.845172
12,jawa barat,-7.090911,107.668887
13,jawa tengah,-7.150975,110.1402594
14,di yogyakarta,-7.8753849,110.4262088
15,jawa timur,-7.5360639,112.2384017
16,banten,-6.4058172,106.0640179
17,bali,-8.4095178,115.188916
18,nusa tenggara barat,-8.6529334,117.3616476
19,nusa tenggara timur,-8.6573819,121.0793705
20,kalimantan barat,-0.2787808,111.4752851
21,kalimantan tengah,-1.6814878,113.3823545
22,kalimantan selatan,-3.0926415,115.2837585
23,kalimantan timur,1.6406296,116.419389
24,sulawesi utara,0.6246932,123.9750018
25,sulawesi tengah,-1.4300254,121.4456179
26,sulawesi selatan,-3.6687994,119.9740534
27,sulawesi tenggara,-4.14491,122.174605
28,gorontalo,0.6999372,122.4467238
29,sulawesi barat,-2.8441371,119.2320784
30,maluku,-3.2384616,130.1452734
31,maluku utara,1.5709993,127.8087693
32,papua barat,-1.3361154,133.1747162
33,papua,-4.269928,138.0803529
562,tangerang selatan,-6.2888889,106.7180556
821,banyuwangi,-8.2186111,114.3669444
823,madiun,-7.627753,111.505483
824,ponorogo,-7.867827,111.466003
825,magetan,-7.6493413,111.3381593
826,pacitan,-8.204614,111.08769
827,ngawi,-7.38993,111.46193
828,bangkalan,-7.0306912,112.7450068
829,kediri,-7.809356,112.032356
830,bondowoso,-7.917704,113.813483
831,blitar,-8.1014419,112.162762
832,trenggalek,-8.05,111.7166667
833,tulungagung,-8.0666667,111.9
834,nganjuk,-7.602932,111.901808
835,situbondo,-7.702534,113.955605
836,malang,-8.0495643,112.6884549
837,jember,-8.172357,113.700302
838,sumenep,-6.9253999,113.9060624
839,pasuruan,-6.8623098,108.8001936
840,pamekasan,-7.1666667,113.4666667
841,probolinggo,-7.753965,113.210675
842,lumajang,-8.137022,113.226601
843,bojonegoro,0.882681,124.4669566
844,tuban,-8.7493146,115.1711298
845,lamongan,-7.406153,109.3946794
846,sidoarjo,-7.4530278,112.7173389
847,sampang,-7.5782556,109.2058436
848,mojokerto,-7.488075,112.427027
849,gresik,-7.15665,112.6555
850,jombang,-7.5468395,112.2264794
851,mojokerto,-7.4722222,112.4336111
852,surabaya,-7.289166,112.734398
853,madiun,-7.629714,111.513702
854,blitar,-8.1,112.15
855,malang,-7.981894,112.626503
856,batu,-7.8671,112.5239
857,pasuruan,-7.644872,112.903297
858,kediri,-7.816895,112.011398
859,probolinggo,-7.756928,113.211502
925,batanghari,-1.7083922,103.0817903
926,bungo,-1.6401338,101.8891721
927,kerinci,-1.8720467,101.4339148
928,merangin,-2.1752789,101.9804613
929,muaro jambi,-1.596672,103.615799
930,sarolangun,-2.2654937,102.6905326
931,tanjung jabung barat,-1.2332122,103.7984428
932,tanjung jabung timur,-1.3291599,103.89973
933,tebo,-1.2592999,102.3463875
934,jambi,-1.596672,103.615799
935,sungai penuh,-2.06314,101.387199
1326,simeulue,2.583333,96.083333
1327,aceh singkil,2.3589459,97.87216
1328,aceh selatan,3.3115056,97.3516558
1329,aceh tenggara,3.3088666,97.6982272
1330,aceh timur,5.255443,95.9885456
1331,aceh tengah,4.4482641,96.8350999
1332,aceh barat,4.4542745,96.1526985
1333,aceh besar,5.4529168,95.4777811
1334,pidie,5.0742659,95.940971
1335,bireuen,5.18254,96.89005
1336,aceh utara,4.9786331,97.2221421
1337,aceh barat daya,3.0512643,97.3368031
1338,gayo lues,3.955165,97.3516558
1339,aceh tamiang,4.2328871,98.0028892
1340,nagan raya,4.1248406,96.4929797
1341,aceh jaya,4.7873684,95.6457951
1342,bener meriah,4.7748348,97.0068393
1343,pidie jaya,5.1548063,96.195132
1344,banda aceh,5.55,95.3166667
1345,sabang,5.8946929,95.3192982
1346,langsa,4.48,97.9633333
1347,lhokseumawe,5.1880556,97.1402778
1348,subulussalam,2.6449927,98.0165205
1349,nias,-8.1712591,113.7111274
1350,mandailing natal,0.7432372,99.3673084
1351,tapanuli selatan,1.5774933,99.2785583
1352,tapanuli tengah,1.8493299,98.704075
1353,tapanuli utara,2.0405246,99.1013498
1354,toba samosir,2.3502398,99.2785583
1355,labuhanbatu,2.3439863,100.1703257
1356,asahan,2.8174722,99.634135
1357,simalungun,2.9781612,99.2785583
1358,dairi,2.8675801,98.265058
1359,karo,3.1052909,98.265058
1360,deli serdang,3.4201802,98.704075
1361,langkat,3.8653916,98.3088441
1362,nias selatan,0.7086091,97.8286368
1363,humbang hasundutan,2.1988508,98.5721016
1364,pakpak bharat,2.545786,98.299838
1365,samosir,2.5833333,98.8166667
1366,serdang bedagai,3.3371694,99.0571089
1367,batu bara,3.1740979,99.5006143
1368,padang lawas utara,1.5758644,99.634135
1369,padang lawas,1.1186977,99.8124935
1370,sibolga,1.7403745,98.7827988
1371,tanjung balai,2.965122,99.800331
1372,pematang siantar,2.96,99.06
1373,tebing tinggi,3.3856205,99.2009815
1374,medan,3.585242,98.6755979
1375,binjai,3.594462,98.482246
1376,padangsidimpuan,1.380424,99.273972
1377,kepulauan mentawai,-1.426001,98.9245343
1378,pesisir selatan,-1.7223147,100.8903099
1379,solok,-0.803027,100.644402
1380,sijunjung,-0.6881586,100.997658
1381,tanah datar,-0.4797043,100.5746224
1382,padang pariaman,-0.5546757,100.2151578
1383,agam,-0.2209392,100.1703257
1384,lima puluh kota,3.168216,99.4187929
1385,pasaman,0.1288752,99.7901781
1386,solok selatan,-1.4157329,101.2523792
1387,dharmas raya,-1.1120568,101.6157773
1388,pasaman barat,0.2213005,99.634135
1389,padang,-0.95,100.3530556
1390,solok,-0.803027,100.644402
1391,sawah lunto,-0.6810286,100.7763604
